Konzern;Marke
VW-Konzern;Volkswagen, Audi, Bentley, Bugatti, Lamborghini, Porsche, Seat, SKoda
Fiat-Chrysler-Konzern;Fiat, Chrysler, Alfa_Romeo, Ferrari, Jeep, Dodge, Maserati, Lancia
BMW-Konzern;BMW, Mini, Rolls-Royce,
General Motors-Konzern;GMC, Chevrolet, Cadillac, Corvette, Buick, Pontiac, Hummer, Saab, daewoo
Daimler-Konzern;Mercedes, Smart
Renault-Nissan-Gruppe;Renault, Dacia, Nissan, Infiniti, Opel, Mitsubishi, lada
PSA Peugeot Citroen-Konzern; Peugeot, Citroen
Toyota-Konzern;Toyota, Lexus, daihatsu
Hyundai-Konzern;Hyundai, Kia
Ford-Konzern;ford
Geely-Konzern;volvo
Honda-Konzern;honda
Suzuki-Konzern;suzuki
Subaru-Konzern;subaru
Tata Motors-Konzern;land_rover, jaguar, rover
Mazda-Konzern;mazda
Aufgelöste-Konzerne;trabant, saab
